instance,initial value,final value,generation time,VND time
Instance1,2025,2025,0.004718400001365808,0.01182899999912479
Instance2,3072,3063,0.013467099999616039,0.787904199998593
Instance3,4991,4972,0.11256660000071861,3.822631299999557
Instance4,5520,5506,0.7587540000004083,0.971646599999076
Instance5,8390,8362,6.151324500000555,6.0706066000002465
